county,state,Postal Code
Coffee County,Alabama,AL
Valdez-Cordova Census Area,Alaska,AK
Yuma County,Arizona,AZ
Conway County,Arkansas,AR
Plumas County,California,CA
Adams County,Colorado,CO
Fairfield County,Connecticut,CT
New Castle County,Delaware,DE
Columbia County,Florida,FL
Elbert County,Georgia,GA
Maui County,Hawaii,HI
Power County,Idaho,ID
Sangamon County,Illinois,IL
Washington County,Indiana,IN
Boone County,Iowa,IA
Seward County,Kansas,KS
Wayne County,Kentucky,KY
Sabine Parish,Louisiana,LA
Hancock County,Maine,ME
Harford County,Maryland,MD
Bristol County,Massachusetts,MA
Cass County,Michigan,MI
Isanti County,Minnesota,MN
Stone County,Mississippi,MS
Carter County,Missouri,MO
Glacier County,Montana,MT
Hamilton County,Nebraska,NE
Lander County,Nevada,NV
Grafton County,New Hampshire,NH
Union County,New Jersey,NJ
Quay County,New Mexico,NM
Clinton County,New York,NY
Person County,North Carolina,NC
McIntosh County,North Dakota,ND
Paulding County,Ohio,OH
Greer County,Oklahoma,OK
Curry County,Oregon,OR
Wyoming County,Pennsylvania,PA
Providence County,Rhode Island,RI
Greenwood County,South Carolina,SC
Union County,South Dakota,SD
Weakley County,Tennessee,TN
Borden County,Texas,TX
Juab County,Utah,UT
Grand Isle County,Vermont,VT
Orange County,Virginia,VA
San Juan County,Washington,WA
Wayne County,West Virginia,WV
Brown County,Wisconsin,WI
Johnson County,Wyoming,WY